Question,Answer1,True?,2,True?,3,True?,4,True?,5,True?,6,True?,7,True?,8,True?,9,True?,10,True?
,,,,,,,,,,,,,,,,,,,,
Which Operating System has the biggest Personal Computer (PC) market share?,Microsoft Windows,X,Apple macOS,,Unix - Linux,,,,,,,,,,,,,,,
"Which Operating System has the biggest Smartphone, Server and Supercomputer market share?",Microsoft Windows,,Apple macOS,,Unix - Linux,X,,,,,,,,,,,,,,
"For Unix creators, human efficiency is more valuable than machine efficiency",TRUE,X,FALSE,,,,,,,,,,,,,,,,,
"Before Personal Computer era, human efficiency was more valuable than machine efficiency",TRUE,,FALSE,X,,,,,,,,,,,,,,,,
Who has founded the Free Software movement?,Steve Jobs,,Bill Gates,,Richard Stallman,X,Linus Torvalds,,,,,,,,,,,,,
"The word ""Free"" in ""Free Software"" must be considered as in",Free Speech,X,Free beer,,,,,,,,,,,,,,,,,
Who is a big proponent of Open Source movement?,Steve Jobs,,Bill Gates,,Richard Stallman,,Linus Torvalds,X,,,,,,,,,,,,
How many Lines of Code in the Linux Kernel?,around 28 thousand,,around 28 million,X,around 28 billion,,,,,,,,,,,,,,,
Which layer(s) form the Operating System?,Hardware,,Kernel,X,OS Software,X,Application Software,,End User,,,,,,,,,,,
What are the advantage(s) of a Command Line Interface (CLI)?,It keeps history,X,It has a graphical interface,,It offers completion,X,It allows composition by command chaining,X,"It displays multiple widgets: buttons, menus, icons...",,,,,,,,,,,
Who created Linux?,Linus Torvalds,X,Bill Gates,,Steve Jobs,,Ken Thomson,,Sid Meier,,Edsger Dijkstra,,Chuck Norris,,,,,,,
What is Linux?,an Operating System,X,a shell,,a Version Control System,,a kind of computer,,an IT company,,a code editor,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Which Linux command(s) moves the shell working directory?,sed,,grep,,curl,,cd,X,wget,,source,,apt,,,,,,,
Which Linux command(s) downloads files from an internet URL?,sed,,grep,,curl,X,cd,,wget,X,source,,apt,,,,,,,
